Anything new?;Cosa c'è di nuovo?
Profile;Profilo
Newsfeed;Notizie
Wall;Pinboard
"The current password is wrong";"Password non è corretta"
Contact;Contatto
"Edit profile";"Modifica profilo"
"Edit Profile";"Modifica profilo"
"Your Profile";"Il tuo profilo"
"Startpage";"Pagina casa"
"Legal-Notice";"Impronta"
"Privacy";"Vita privata"
"Terms and Conditions";"Termini e Condizioni"
"Search";"Ricerca"
"Gallery";"Galleria"
"Friends";"Amici"
"Memberlist";"Lista utenti"
"Conversations";"Conversazioni"
"Administration";"Amministrazione"
"Logout";"Disconnettersi"
"Legal Notice";"Impronta"
"Terms & Conditions";"Termini e Condizioni"
"Back";"Indietro"
"My Account";"Il Mio Conto"
"Images";"Immagini"
"Notifications";"Notifiche"
"General";"Generale"
"Change password";"Cambiare la password"
"Delete Account";"Elimina account"
"Username";"Nome utente"
"I am";"Sono"
"Female";"femminile"
"Male";"Maschio"
"Save";"Salva"
"Current Password";"Password Attuale"
"New Password";"Nuova Password"
"Repeat new Password";"Ripetere nuova password"
"Attention!";"Attenzione!"
"If you delete your account, all your data will be deleted permanentely. None will be able to restore any photos, messages or posts!";"Se si elimina l'account, tutti i dati verranno cancellati permanentemente. Nessuno sarà in grado di ripristinare le foto o messaggi!"
"Are You sure you want to delete your account?";"Sei sicuro di voler eliminare il tuo account?"
"Yes, I am sure. Delete my account";"Sì, ne sono certo. Eliminare il mio conto"
"Who is allowed to search you?";"Chi è autorizzato a cercare te?"
"No one";"Nessuno"
"Friends";"Amici"
"Everybody";"Tutti"
"Who is allowed to see your profile-pins?";Chi è permesso di vedere il tuo profilo-pins?"
"Who is allowed to send you messages?";"Chi può inviare messaggi?"
"Who is allowed to see your Newsfeed-Posts?";"Chi è permesso di vedere i tuoi messaggi newsfeed?"
"Profile Image";"Immagine di profilo"
"Title Image";"Immagine di titolo"
"Edit My Profile Image";"Modifica il mio immagine di profilo"
"Profile-Image";"Immagine di profilo"
"Select Photo";"Selezionare Foto"
"You can upload jpg, gif and png files with a maximum file-size of";"È possibile caricare file jpg, gif e png con un file di dimensione massima di"
"Delete current Profile-Image";"Eliminare attuale immagine di profilo"
"Uploading";"Caricamento..."
"Upload";"Carica"
"Edit My Title Image";"Modifica il mio Immagine di titolo"
"Title-Image";"Immagine di titolo"
"Delete current Title-Image";"Eliminare attuale immagine di titolo"
"Grab the pins to move them!";"Afferra i Pins per spostarli!"
"Add a new Pin";"Aggiungi un nuovo Pin"
"Add a new Profile-Pin";"Aggiungi un nuovo Pin di profilo"
"This field cannot be blank!";"Questo campo non può essere vuoto!"
"Title";"Titolo"
"Give the pin a title!";"Dare il pin di un titolo!"
"Type";"Tipo"
"Choose a type";"Scegliere un tipo"
"Freestyle";"Freestyle"
"Icon";"Icona"
"Select an icon";"Selezionare un'icona"
"Content";"Contenuto"
"Select Information you want to present";"Selezionare Informazioni si desidera presentare"
"Are You sure You want to delete this profile-pin?";"Sei sicuro di voler eliminare questo pin di profilo?"
"Delete this Profile-Pin";"Eliminare questo Pin di Profilo"
"Create";"Creare"
"Update";"Aggiornare"
"Notifications-Settings";"Impostazioni Notifiche"
"Select which kind of Notifications you want to receive";"Selezionare il tipo di notifiche che si desidera ricevere"
"Display a notification on this Website";"Visualizza una notifica su questo sito"
"Send me an email";"Inviami una email"
"Someone posted on your Wall";"Qualcuno ha postato sulla tua bacheca"
"Someone sent you a message";"Qualcuno ti ha inviato un messaggio"
"Someone add you to a conversation";"Qualcuno ti ha aggiunto a una conversazione"
"Someone add you as a friend";"Qualcuno ti ha aggiunto come amico"
"Someone confirms your friend-request";"Qualcuno conferma la richiesta di amicizia"
"edit Pin";"Modificare Pin"
"Announcements";"Annuncio"
"Activate Chat";"Attiva Chat"
"Close all chat windows";"Chiudere tutte le finestre di chat"
"Deactivate Chat";"Disattivare Chat"
"Write a message";"Scrivi un messaggio"
"Add an emoticon";"Aggiunta di un'emoticon"
"Close";"Vicino"
"Send Friend Request";"Invia richiesta di amicizia"
"Remove Friend Request";"Rimuovere richiesta di amicizia"
"Relationshipstatus";"Stato di relazione"
"Confirm a friendship";"Conferma un'amicizia"
"Block person";"Bloccare persona"
"Unblock person";"Sblocca persona"
"Are You sure You want to add this user as a friend?";"Sei sicuro di voler aggiungere questo utente come amico?"
"Please send friend requests only to people you really know!";"Si prega di inviare richieste di amicizia solo per le persone che sanno veramente!"
"Are You sure You want to remove this user as a friend?";"Sei sicuro di voler rimuovere questo utente dal tuo lista di amici?"
"Are You sure you want to confirm this friendship?";"Sei sicuro di voler confermare questa amicizia?"
"Please select a status for your relationship";"Si prega di scegliere una condizione di relazione"
"In a relationship";"In una relazione con"
"Engaged";"Impegnato"
"Married";"Sposato"
"Then You both are allowed to communicate";"Poi Entrambi possono comunicare"
"Cancel";"Cancellare"
"Add as friend";"Aggiungi come amico"
"End Relationship";"Porre fine alla relazione"
"Remove it!";"Rimuoverlo!"
"I'm Sure!";"Sono sicuro che!"
"Delete Request";"Cancella Richiesta"
"Confirm";"Confermare"
"Sure, do it!";"Certo, farlo!"
"Searchresults for";"Risultati della ricerca per"
"No results for your query";"Nessun risultato per la ricerca"
"Add as friend";"Aggiungi come amico"
"Send message";"Invia un messaggio"
"You have blocked this user";"Hai bloccato questo utente"
"Blocked";"Bloccato"
"Answer Request";"Risposta Richiesta"
"Request pending";"Richiesta in attesa"
"Remove request";"Rimuovere richiesta"
"Friends";"Amici"
"No notifications";"Nessuna notifica"
"new";"nuovo"
"Done!";"Fatto!"
"Your message was sent successfully!";"Il tuo messaggio è stato inviato con successo!"
"Sorry!";"Scusate!"
"There was an error! Please try again later";"Si è verificato un errore! Si prega di riprovare più tardi"
"To";"A"
"No users found!";"Nessun utente trovato"
"Message";"Messaggio"
"Your message!";"Il tuo messaggio!"
"Please wait..";"Attendere prego..."
"Photo Albums";"Album fotografici"
"This user does not have any profile pins!";"Questo utente non ha nessun pin profilo"
"decides who is allowed to see this post!";"decide, chi è autorizzato a vedere questo post!"
"Post";"Contributo"
"Likes";"Likes"
"Like";"Like"
"Dislikes";"Dislikes"
"Dislike";"Dislike"
"Remove all your likes";"Rimuovere tutti i vostri Likes"
"Unlike";"Unlike"
"Comments";"Commenti"
"Comment";"Commento"
"Options";"Opzioni"
"Delete post";"Elimina Contributo"
"No Likes yet";"Non Likes fino ad ora"
"No Dislikes yet";"Non Dislikes fino ad ora"
"Leave a comment!";"Lascia un commento"
"Load more comments";"Carica altri commenti"
"Delete this comment";"Elimina questo commento"
"Remove all your Like/Dislike from this image";"Rimuovere tutti i vostri Lkes / Dislikes questa immagine"
"Press enter to post comment";"Premere Invio per inviare un commento"
"Previous";"Precedente"
"Next";"Prossimo"
"Image";"Immagine"
"of";"di"
"from the Album";"da Album"
"Delete Image";"Elimina Immagine"
"There are no posts to show";"Non ci sono messaggi da mostrare"
"Load more Posts";"Carica altri messaggi"
"Filter posts";"Filtrare messaggi"
"Show posts";"Visualizza messaggi"
"Show photos";"Mostrare le foto"
"Show videos";"Mostra video"
"Apply filter";"Applica filtro"
"There are no users to show";"Non ci sono utenti da mostrare"
"Profile Images";"Immagini di Profilo"
"Posted Images";"Immagini pubblicate"
"There are no albums to show!";"Non ci sono album da mostrare!"
"Are You sure You want to remove the friend request?";"Sei sicuro di voler rimuovere la richiesta di amicizia?"
"Are You sure You want to remove this user as a friend?";"Sei sicuro di voler rimuovere questo utente dal tuo lista di amici?"
"Are You sure You want to unblock this user?";"Sei sicuro di voler sbloccare questo utente?"
"Block Person";"Bloccare la Persona"
"Unblock";"Sbloccare"
"Remove as friend";"Rimuovere dal tuo lista di amici"
"Send a message";"Invia un messaggio"
"Invia";"Senden"
"Filter the posts you want to see";"Filtrare i messaggi che si desidera vedere"
"Status posts";"Messaggi di stato"
"Photos";"Foto"
"Videos";"Video"
"Check for new posts manually";"Verificare la presenza di nuovi messaggi manualmente"
"What's up?";"Cosa succede?"
"Select who will be allowed to see this post";"Selezionare, che sarà permesso di vedere questo post"
"Public";"Pubblico"
"Only Me";"Solo Me"
"Albums";"Album"
"Gallery Albums";"Album di Galleria"
"New Album";"Nuovo album"
"Filter the albums you want to see";"Filtrare gli album che si desidera vedere"
"My Albums";"I miei album"
"Friends Albums";"Album di amici "
"Shared Albums";"Album condivisi"
"Create new album";"Crea nuovo album"
"Description";"Descrizione"
"Enter a short description for your album. Optional you can leave that blank!";"Inserire una breve descrizione per il tuo album. Optional è possibile lasciare che vuoto"
"You can choose friends who are allowed to see this album";"È possibile scegliere amici che hanno il permesso di vedere questo album"
"Shared";"Diviso"
"Only your friends can see the images";"Solo i tuoi amici possono vedere le immagini"
"Every user can see the images";"Ogni utente può vedere le immagini"
"Friends can also upload images";"Gli amici possono anche caricare immagini"
"My Friends";"I Miei Amici"
"My friends";"I Miei Amici"
"Friend Requests";"Richieste Amicizia"
"My Conversations";"Le mie conversazioni"
"My Conversations";"Le mie conversazioni"
"Start Conversation";"Inizia conversazione"
"There are no conversations";"Non ci sono conversazioni"
"Remember Me";"Rimani loggato"
"Password";"Password"
"I forgot my password";"Ho dimenticato la password"
"Log in";"Login"
"Registration";"Registrazione"
"E-Mail";"E-Mail"
"Firstname";"Nome
"Lastname";"Cognome
"Repeat password";"Ripeti la password"
"Select your gender";"Seleziona il tuo sesso"
"Register";"Registrati"
"Register now!";"Registrati ora!"
"Login";"Login"
"Sorry";"Scusate"
"The entered data is not correct!";"I dati immessi non è corretto"
"Remember me";"Rimani loggato"
"Please confirm your login to enter the admin-panel!";"Si prega di confermare i dati di accesso per accedere al pannello di amministrazione!"
"Sign In";"Registrati"
"Back to your Cunity";"Torna al tuo Cunity"
"Toggle navigation";"Cambia la navigazione"
"Back to your cunity";"Torna al tuo Cunity"
"Settings";"Impostazioni"
"Site";"Sito"
"Users & Registration";"Utenti e registrazione"
"Mail";"E-Mail"
"Static pages";"Pagine statiche"
"Appearance";"Aspetto"
"Menus";"Menu"
"Right Sidebar";"Barra laterale destro"
"Layout";"Layout"
"Modules";"Moduli"
"Userlist";"Lista Utenti"
"Contact-Form";"Forma di contatto"
"Statistics";"Statistica"
"Site Reports";"Rapporti sito"
"Events";"Eventi"
"About Cunity";"Chi Cunity"
"Settings";"Impostazioni"
"About";"Su"
"Dashboard";"Sondaggio"
"Messages";"Messaggi"
"Site Infos";"Informazioni sito"
"Cunity-Name";"Nome Cunity"
"Admin Mail";"Admin E-Mail"
"Language";"Lingua"
"Mailing";"Mailing"
"inactive";"inattivo"
"Design";"Design"
"404 - Page Not Found";"404 - Pagina non trovata"
"Page not found!";"Pagina non trovata"
"The page You are requesting is not available!";"La pagina che stai chiedendo non è disponibile"
"Probably this is only a private content?";"Probabilmente questo è solo un contenuto privato?"
"Maybe the Administrator turned this module off?";"Forse l'amministratore acceso questo modulo off"
"Probably the content was deleted?";"Probabilmente il contenuto è stato eliminato"
"Maybe you have misstyped the URL?";"Forse si è scritto male l'URL?"
"Changes Saved";"Modifiche salvate"
"An error occurred";"Un errore è accaduto"
"Name of the Cunity";"Nome della Cunity"
"Your site name is too short (min. 3 chars)";"Il tuo nome del sito è troppo breve (min. 3 caratteri)"
"Url of the Cunity";"URL del Cuntiy"
"Please enter a valid url (must start with http:// or https:// !)";"Inserisci un URL valido (deve iniziare con http: // o https: //!)"
"Take care!";"Stai attento"
"If the URL is not correct, Cunity will not work correctly!";"Se l'URL non è corretto, Cunity non funziona correttamente!"
"Description for this Cunity";"Descrizione per questo Cunity"
"Your description is too short (min. 10 chars)";"La descrizione è troppo breve (min. 10 caratteri)"
"Contact E-Mail";"Contatto E-Mail"
"Please enter a valid email-address!";"Si prega di inserire un indirizzo email valido"
"Localization";"Localizzazione"
"Theme";"Tema"
"Select a Theme";"Selezionare un tema"
"Cunity Refreshed!";"Cunity Rinfrescata!"
"Users";"Utenti"
"Show names";"Mostra nomi"
"Show only usernames";"Mostra solo nomi utente"
"Show full names";"Mostra nomi completi"
"Who is allowed to register?";"Chi può iscriversi?"
"Everyone";"Tutti"
"Everyone, but user must be activated by an administrator";"Tutti, ma l'utente deve essere attivata da un amministratore"
"Only users who received an invitation";"Solo gli utenti che hanno ricevuto l'invito"
"Do you want to be notified?";"Vuoi essere avvisato?"
"Send me an email, if a new user registered (and verified the account)";"Inviami una email, se un nuovo utente registrato (e verificato il conto)"
"Do not send me an email";"Non mandarmi una e-mail"
"Do you want a minimum age for registration?";"Volete un età minima per la registrazione?"
"Set the age to 0 to remove the minimum age!";"Impostare l'età a 0 per rimuovere l'età minima!"
"Send me a Testmail";"Invia una E-mail di prova"
"Connection";"Collegamento"
"Mailserver";"Mailserevr"
"Use SMTP";"Usa SMTP"
"Use PHP Sendmail";"Usa PHP Sendmail"
"SMTP-Host";"SMTP Host"
"SMTP-Port";"SMTP Port"
"SMTP-Authentication";"SMTP Autenticazione"
"Yes";"Si"
"No";"No"
"SMTP-Username";"SMTP nome utente"
"SMTP-Password";"SMTP Password"
"SMTP-Security";"SMTP Sicurezza"
"Use SSL";"Usa SSL"
"Sender";"Mittente"
"Sender-Name";"Nome di Mittente"
"This name is too short! (min. 3 chars)";"Questo nome è troppo breve! (min. 3 caratteri)"
"Sender-Address";"Indirizzo del mittente"
"Please enter a valid Email-address!";"Si prega di inserire un indirizzo email valido!"
"Mail-Templates";"Modelli di E-Mail"
"Mail-Header";"Mail-Header"
"Mail-Footer";"Mail-Footer"
"Static Pages";"Pagine statiche"
"Existing Pages";"Pagine esistenti"
"Page-Title & Preview";"Titolo della pagina e anteprima"
"Last Change";"Ultima modifica"
"Actions";"Azioni"
"Add new page";"Aggiungi nuova pagina"
"Edit page";"Modifica pagina"
"This field is required";"Questo campo è obbligatorio"
"Page-Title";"Titolo della pagina"
"The title is too short (min. 3 chars)";"Il titolo è troppo breve (min. 3 caratteri)"
"Choose a short Title for this page";"Scegliere un titolo breve per questa pagina"
"Page-Content";"Contenuto della pagina"
"Create page";"Creare pagina"
"Update page";"Aggiornamento pagina"
"Edit";"Modifica"
"Delete";"Eliminare"
"Menu";"Menu"
"Add a module";"Aggiungere un modulo"
"Add a page";"Aggiungere una pagina"
"Add a custom Link";"Aggiungi un Link personalizzato"
"URL (e.g. http://www.example.com)";"URL (ad esempio http://www.example.com)"
"Select Menu";"Selezionare Menu"
"Main-Menu";"Menu principale"
"Footer-Menu";"Footer Menu"
"Add item";"Aggiungere elemento"
"Add to Main-Menu";"Aggiungere al Menu principale"
"Add to Footer-Menu";"Aggiungi al Footer Menu"
"This is an external link";"Questo è un link esterno
"Remove Item";"Rimuovi elemento"
"Right-Sidebar";"Sidebar destra"
"Manage Modules";"Gestire i moduli"
"Your Modules";"I moduli
"Module-Name";"Nome modulo"
"Status";"Stato"
"Activated";"Attivato"
"Deactivate";"Disattivare"
"Change Icon";"Cambia icona"
"Uninstall";"Disinstallazione"
"Activated";"Attivato"
"Add User";"Aggiungi utente"
"Name";"Nome"
"Registered";"Registrato"
"Last Action";"Ultima azione"
"Cunity-Owner";"Cunity proprietario"
"Delete this user";"Eliminare questo utente"
"Block this user";"Blocca questo utente"
"Filter the list";"Filtra lista"
"Active Users";"Utenti attivi"
"Not verified Users";"Gli utenti non verificati"
"Administrators";"Amministratori"
"Active";"Attivo"
"Not verified";"Non verificato"
"Inactive";"Inattivo"
"Administrator";"Amministrator"
"Contact Form";"Forma di contatto"
"Imprint";"Impronta"
"Terms &amp; Conditions";"Termini e condizioni"
"Privacy Policy";"Privacy Policy"
"ContactForm";"Forma di contatto"
"Subject";"Soggetto"
"Your Message";"Il Tuo Messaggio"
"Send a copy to me";"Invia una copia a me"
